"","LabNumber","US_230EVT","count","EVT_NAME","Exotics","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE"
"1","BC23-10",7238,120,"Laurentian-Acadian Northern Oak Forest","No",7362,2238,"Tr Laurentian-Acadian Northern Oak Forest","Tree","Hardwood",665,"Red Pine-White Pine Forest and Woodland","SAF 15: Red Pine","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",174,245,224,0.682353,0.960784,0.878431
"2","BC23-10",7239,134,"Laurentian-Acadian Northern Pine-(Oak) Forest","No",7362,2239,"Tr Laurentian-Acadian Northern Pine-Oak Forest","Tree","Conifer-Hardwood",665,"Red Pine-White Pine Forest and Woodland","SAF 15: Red Pine","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",174,245,224,0.682353,0.960784,0.878431
"3","BC23-10",7240,84,"Laurentian-Acadian Hardwood Forest","No",7366,2240,"Tr Laurentian-Acadian Hardwood Forest","Tree","Hardwood",685,"Pine-Hemlock-Hardwood Forest","SAF 24: Hemlock-Yellow Birch","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",0,92,0,0,0.360784,0
"4","BC23-10",7241,422,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","No",7366,2241,"Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Tree","Conifer-Hardwood",685,"Pine-Hemlock-Hardwood Forest","SAF 24: Hemlock-Yellow Birch","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",0,92,0,0,0.360784,0
"5","BC23-10",7292,38910,"Open Water","No",7292,11,"Ba Open Water","Water","Open Water",11,"Open Water","LF 11: Water","Non-vegetated","Non-vegetated","Non-vegetated",0,0,255,0,0,1
"6","BC23-10",7296,61,"Developed-Low Intensity","No",7296,2902,"Bau Developed-Low Intensity","Developed","Developed-Low Intensity",22,"Developed-Low Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",255,122,143,1,0.478431,0.560784
"7","BC23-10",7297,5,"Developed-Medium Intensity","No",7297,2903,"Bau Developed-Medium Intensity","Developed","Developed-Medium Intensity",23,"Developed-Medium Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",253,44,79,0.992157,0.172549,0.309804
"8","BC23-10",7299,697,"Developed-Roads","No",7299,2905,"Bau Developed-Roads","Developed","Developed-Roads",25,"Developed-Roads","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",1,1,1,0.003922,0.003922,0.003922
"9","BC23-10",7301,2668,"Laurentian-Acadian Sub-boreal Aspen-Birch Forest","No",7301,2301,"Tr Boreal Aspen-Birch Forest","Tree","Hardwood",652,"Aspen-Birch Forest","SAF 16: Aspen","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",192,255,138,0.752941,1,0.541176
"10","BC23-10",7302,15423,"Laurentian-Acadian Northern Hardwoods Forest","No",7302,2302,"Tr Laurentian-Acadian Northern Hardwoods Forest","Tree","Hardwood",682,"Yellow Birch-Sugar Maple Forest","SAF 27: Sugar Maple","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",171,255,138,0.670588,1,0.541176
